label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
26: 1.0,manhattan,Maiores Distancias,0.25122040060187373,0.07134968217196347,0.13362677916140286,0.08891390931016403,0.0009740034739176433,0.003716494642595886
26: 1.0,manhattan,KMeans,0.36356912109251727,0.0,0.3143258563379756,0.0,0.003457482655843099,0.006575530236149892
26: 1.0,euclidean,Maiores Distancias,0.26511182023570545,0.0502542013150606,0.15286081627286857,0.08689384151298746,0.0005269527435302734,0.0027551870131710824
26: 1.0,euclidean,KMeans,0.36079704302498,0.0,0.3143258563379756,0.0,0.0038748820622762042,0.0067716839476720326
27: 1.0,euclidean,KMeans,0.41765104259048796,0.0,0.5487709916825734,0.0,0.00427096684773763,0.00693397420473948
27: 1.0,euclidean,Maiores Distancias,0.2757985918494314,0.05187713649155504,0.20066880092295972,0.1392023325169486,3.4586588541666666e-05,0.0001894385473142054
27: 1.0,manhattan,KMeans,0.413400448439992,0.0,0.5487709916825734,0.0,0.0022731463114420572,0.00549572583148291
27: 1.0,manhattan,Maiores Distancias,0.2641827418132661,0.06040856161922702,0.20374927935676465,0.13327175332171937,7.30593999226888e-05,0.0002789011901164275
28: 1.0,euclidean,KMeans,0.36761413148599426,0.0,0.3120082663498415,0.0,0.0016493876775105795,0.0043550615372747875
28: 1.0,euclidean,Maiores Distancias,0.26768302442248065,0.0469826264230453,0.12035880071681973,0.06560190526571322,5.846023559570312e-05,0.00022275030127038821
28: 1.0,manhattan,KMeans,0.37210151201914593,0.0,0.3120082663498415,0.0,0.0010941108067830405,0.0036703008553957196
28: 1.0,manhattan,Maiores Distancias,0.2360116982706746,0.04332307873929541,0.0918049794669071,0.05380554263378319,0.001562801996866862,0.0047709870004797
29: 1.0,manhattan,Maiores Distancias,0.2758895218882717,0.06322381935692777,0.20489567440766657,0.1188636765277749,0.0005335172017415364,0.0027451021127581
29: 1.0,manhattan,KMeans,0.4069989590054895,0.0,0.46641566674976925,0.0,0.003239933649698893,0.006577679864728816
29: 1.0,euclidean,Maiores Distancias,0.32301254168841326,0.06776740060870914,0.2589896554574683,0.12943935933067519,0.0005602200826009114,0.0028835565008443627
29: 1.0,euclidean,KMeans,0.4077421036882432,0.0,0.46641566674976925,0.0,0.0017924785614013671,0.004376418757456366
30: 1.0,euclidean,KMeans,0.33462144079953354,0.0,0.42512551719177166,0.0,0.001422866185506185,0.004402813543987429
30: 1.0,euclidean,Maiores Distancias,0.2718314978132349,0.06983809131190324,0.23564958776864983,0.10801297654859796,0.0010454734166463217,0.0038877457166679743
30: 1.0,manhattan,KMeans,0.32831754021836523,0.0,0.42512551719177166,0.0,0.002311515808105469,0.005556695578532887
30: 1.0,manhattan,Maiores Distancias,0.25931040389319227,0.05052878115867564,0.25303515749459543,0.09871958734579854,0.0005034526189168294,0.0027575235601579955
